epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,53.6242,1.20214,1.63503,0.98314,1,0.28417,0.81898,0.51787,1.24257,2.39565,0.89588,0.000822003,0.000822003,0.000822003
43,54.8112,1.18951,1.66336,0.99617,1,0.28417,0.81898,0.51787,1.24257,2.39565,0.89588,0.000827782,0.000827782,0.000827782
44,55.9993,1.3069,1.6731,0.94595,1,0.28417,0.81898,0.51787,1.24257,2.39565,0.89588,0.000832902,0.000832902,0.000832902
45,57.1682,1.13211,1.53115,0.8811,1,0.28417,0.81898,0.51787,1.24257,2.39565,0.89588,0.000837361,0.000837361,0.000837361
46,58.4162,1.34671,1.88878,0.97281,0.87362,0.24724,0.76875,0.49227,1.25934,2.47909,0.90734,0.00084116,0.00084116,0.00084116
47,59.8102,1.22013,1.65806,1.01315,0.87362,0.24724,0.76875,0.49227,1.25934,2.47909,0.90734,0.000844299,0.000844299,0.000844299
48,60.9692,1.19635,1.7028,1.05387,0.87362,0.24724,0.76875,0.49227,1.25934,2.47909,0.90734,0.000846778,0.000846778,0.000846778
49,62.1322,1.21538,1.8889,1.00755,0.87362,0.24724,0.76875,0.49227,1.25934,2.47909,0.90734,0.000848596,0.000848596,0.000848596
50,63.3313,1.18671,1.56515,0.92093,0.89689,0.43495,0.80304,0.51604,1.27845,2.29438,0.92395,0.000849755,0.000849755,0.000849755
51,64.5002,1.23217,1.59051,0.98708,0.89689,0.43495,0.80304,0.51604,1.27845,2.29438,0.92395,0.000841835,0.000841835,0.000841835
52,65.6334,1.31582,1.5839,1.06884,0.89689,0.43495,0.80304,0.51604,1.27845,2.29438,0.92395,0.000825332,0.000825332,0.000825332
53,66.8244,1.20608,1.5901,1.00793,0.89689,0.43495,0.80304,0.51604,1.27845,2.29438,0.92395,0.000808828,0.000808828,0.000808828
54,68.0264,1.33125,1.5358,0.96497,0.91755,0.5715,0.86215,0.56121,1.23645,2.07032,0.91426,0.000792325,0.000792325,0.000792325
55,69.1811,1.35453,1.70677,1.03407,0.91755,0.5715,0.86215,0.56121,1.23645,2.07032,0.91426,0.000775822,0.000775822,0.000775822
